"dataset","protocol","species","tissue.type","n_samples","n_genes","n_classes","max_class_perc","min_class_perc","measure",method,score
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","bd",0.36126764391677
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","fa",0.763604731449256
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","fica",0.208885367009891
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","grp",0.222784564429954
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","icm",0.478930782022845
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","ipca",0.298325006512649
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","isomap",0.193292703411185
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","ivis",0.472527315286688
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","kpca.cos",0.505312358092579
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","kpca.pol",0.152952460784528
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","kpca.rbf",0.300127601058553
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","lda",0.891187001801829
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","lle",0
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","lsnmf",0.00846572336982406
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","mctsne",0.333657757012186
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","nmf",0.448541082809904
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","nmf2",0.112686373531338
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","nsnmf",0.693456987682322
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","pca",0.299404503964548
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","phate",1
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","pmf",0.873092806500256
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","psmf",0.270577081459539
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","saucie",-0.533666597914872
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","snmf",0.256402449525227
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","spca",0.311173401198532
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","spca.batch",0.364720627918935
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","spectral",0.112842054640275
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","srp",0.161238343480965
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","tsvd",0.298264370784799
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","umap",0.162281913528844
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","vasc",0.0618476877922384
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","vpac",0.405773134836351
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"dbs","zifa",0.189778073639012
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","bd",0.365385577907762
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","fa",0.569355579147893
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","fica",0.329132129092017
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","grp",0.431180438594212
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","icm",0.347999806696067
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","ipca",0.382484371206482
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","isomap",0.451009576029271
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","ivis",0.478225872426838
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","kpca.cos",0.878616725066367
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","kpca.pol",0
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","kpca.rbf",0.100531121438648
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","lda",0.8042580197719
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","lle",0.828241753065193
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","lsnmf",0.224105238796737
