file,n_samples,n_genes,n_classes,max_class_perc,min_class_perc,cell_types
baron-human.rds,8569,20125,14,0.2946668,0.0008168981,acinar; beta; delta; activated_stellate; ductal; alpha; epsilon; gamma; endothelial; quiescent_stellate; macrophage; schwann; mast; t_cell,
baron-mouse.rds,1886,14878,13,0.4740191,0.003181336,beta; ductal; delta; schwann; quiescent_stellate; endothelial; gamma; alpha; macrophage; immune_other; activated_stellate; B_cell; T_cell,
biase.rds,56,0,4,0.3571429,0.125,zygote; 2cell; 4cell; blast,
camp1.rds,777,19020,7,0.2200772,0.09009009,definitive endoderm; immature hepatoblast; ipsc; mature hepatocyte; hepatic endoderm; endothelial; mesenchymal stem cell,
camp2.rds,734,18927,6,0.2956403,0.04223433,dosal cortex progenitor; Unknown; dosal cortex neuron; neuron; mesenchyme; ventral progenitor,
campbell.rds,21086,26774,35,0.3797306,0.001422745,miss; n20; n13; n31; n23; n24; n30; n18; n33; n22; n29; n09; n07; n34; n32; n14; n10; n02; n16; n19; n12; n17; n04; n27; n15; n25; n11; n26; n21; n01; n08; n28; n05; n03; n06,
chen.rds,14437,23284,47,0.2452726,0.0009004641,MO; Micro; Tany; Ependy; Astro; IMO; GABA15; GABA8; Epith2; zothers; GABA17; GABA12; OPC; GABA16; Macro; Glu7; GABA11; Epith1; Glu5; Glu11; GABA7; Glu4; GABA14; Glu9; GABA3; SCO; GABA6; POPC; Glu13; GABA9; GABA13; Glu2; GABA18; GABA5; Glu6; Glu8; Glu14; Glu15; Glu3; GABA10; GABA4; Glu12; GABA1; GABA2; Hista; Glu1; Glu10,
darmanis.rds,466,22088,9,0.2811159,0.03433476,astrocytes; endothelial; microglia; neurons; fetal_quiescent; fetal_replicating; oligodendrocytes; hybrid; OPC,
deng-reads.rds,268,22431,6,0.4962687,0.04477612,16cell; 4cell; 8cell; zygote; blast; 2cell,
deng-rpkms.rds,268,22431,6,0.4962687,0.04477612,16cell; 4cell; 8cell; zygote; blast; 2cell,
fan.rds,66,26357,6,0.3333333,0.1060606,zygote; 2cell; 4cell; 8cell; blast; 16cell,
goolam.rds,124,41480,5,0.516129,0.0483871,2cell; 4cell; 8cell; 16cell; blast,
grun.rds,1502,23536,2,0.804261,0.195739,HSC; Unknown,
klein.rds,2717,24175,4,0.3433934,0.1115201,d0; d2; d4; d7,
lake.rds,3042,25051,16,0.3477975,0.0147929,Ex1; Ex3; Ex4; In6; In1; Ex5; In5; Ex7; In8; Ex2; Ex6; In7; In4; Ex8; In3; In2,
li.rds,561,55186,9,0.171123,0.04099822,A549; GM12878_B1; H1437; HCT116; IMR90; H1_B1; K562; GM12878_B2; H1_B2,
Linnarsson_amygdala_SingCellExp_sparseM.rds,25414,27998,8,0.6381129,0.004761155,Oligos; Neurons; Excluded; Vascular; Blood; Astrocytes; Immune; Ependymal,
Linnarsson_cerebellum_SingCellExp_sparseM.rds,12312,27998,8,0.7602339,0.0006497726,Blood; Immune; Neurons; Vascular; Excluded; Oligos; Astrocytes; Ependymal,
Linnarsson_cortex1_SingCellExp_sparseM.rds,13698,27998,7,0.653088,0.002409111,Excluded; Vascular; Oligos; Neurons; Immune; Astrocytes; Blood,
Linnarsson_cortex2_SingCellExp_sparseM.rds,20811,27998,8,0.5658546,0.0004805151,Excluded; Vascular; Immune; Oligos; Blood; Neurons; Astrocytes; Ependymal,
Linnarsson_cortex3_SingCellExp_sparseM.rds,15969,27998,8,0.5719206,0.0006888346,Excluded; Oligos; Immune; Neurons; Vascular; Blood; Astrocytes; Ependymal,
Linnarsson_drg_SingCellExp_sparseM.rds,2948,27998,7,0.589213,0.003052917,Neurons; Excluded; Astrocytes; Vascular; Oligos; PeripheralGlia; Blood,
Linnarsson_enteric_SingCellExp_sparseM.rds,17417,27998,7,0.9149107,5.741517e-05,Neurons; PeripheralGlia; Immune; Vascular; Blood; Excluded; Oligos,
Linnarsson_hippocampus_SingCellExp_sparseM.rds,29519,27998,8,0.6501575,0.001151801,Oligos; Immune; Neurons; Vascular; Excluded; Blood; Astrocytes; Ependymal,
Linnarsson_hypothalamus_SingCellExp_sparseM.rds,36836,27998,8,0.6054946,0.00564665,Oligos; Excluded; Neurons; Immune; Blood; Vascular; Astrocytes; Ependymal,
Linnarsson_medulla_SingCellExp_sparseM.rds,65179,27998,8,0.8157996,0.0031145,Blood; Oligos; Vascular; Excluded; Immune; Ependymal; Astrocytes; Neurons,
Linnarsson_midbraindorsal_SingCellExp_sparseM.rds,38940,27998,8,0.453775,0.001129944,Immune; Vascular; Neurons; Blood; Excluded; Astrocytes; Ependymal; Oligos,
Linnarsson_midbrainventral_SingCellExp_sparseM.rds,37528,27998,8,0.6127958,0.004716478,Neurons; Excluded; Oligos; Vascular; Ependymal; Immune; Blood; Astrocytes,
Linnarsson_olfactory_SingCellExp_sparseM.rds,20636,27998,8,0.5689572,0.0007268851,Oligos; Excluded; Neurons; Vascular; Astrocytes; Ependymal; Immune; Blood,
Linnarsson_pons_SingCellExp_sparseM.rds,62635,27998,8,0.8223198,0.0007982757,Neurons; Excluded; Vascular; Immune; Oligos; Ependymal; Astrocytes; Blood,
Linnarsson_spinalcord_SingCellExp_sparseM.rds,37227,27998,9,0.6641148,2.686222e-05,Vascular; Excluded; Blood; Immune; Ependymal; Oligos; Neurons; Astrocytes; PeripheralGlia,
Linnarsson_striatumdorsal_SingCellExp_sparseM.rds,11775,27998,8,0.593121,0.007473461,Oligos; Excluded; Neurons; Astrocytes; Blood; Vascular; Immune; Ependymal,
Linnarsson_striatumventral_SingCellExp_sparseM.rds,20271,27998,8,0.5430418,0.006067782,Vascular; Blood; Neurons; Excluded; Oligos; Astrocytes; Ependymal; Immune,
Linnarsson_sympathetic_SingCellExp_sparseM.rds,1490,27998,5,0.8785235,0.001342282,Neurons; Vascular; Blood; PeripheralGlia; Astrocytes,
Linnarsson_thalamus_SingCellExp_sparseM.rds,36681,27998,8,0.5381533,0.005670511,Blood; Vascular; Neurons; Oligos; Immune; Excluded; Astrocytes; Ependymal,
macosko.rds,44808,23288,12,0.6561328,0.001205142,muller; rods; bipolar; amacrine; cones; vascular_endothelium; ganglion; horizontal; pericytes; astrocytes; microglia; fibroblasts,
manno_human.rds,4029,20560,56,0.06999255,0.001241003,eNb1; eNb4; eNb3; eRglf; eNb2; eProg2b; eProg2a; eRglb; eRgla; eRgle; eRglc; eRgld; eProg1b; eProg1a; eSCa; eSCb; eSCc; hMgl; hRgl2a; Unk; hNProg; hProgBP; hProgM; hOMTN; hDA0; hNbM; hProgFPL; hEndo; hProgFPM; hRgl2b; hNbML5; hRgl3; hRN; hPeric; hDA1; hRgl1; hGaba; hDA2; hSert; hNbGaba; hNbML1; hRgl2c; hOPC; iMN2; iRN; iNb2; iMN1; iProg2; iProg3; iRgl1; iProg1; iRgl2; iDAa; iNb1; iDAb; iDAc,
manno_mouse.rds,2150,24378,32,0.1809302,0.005581395,DA-VTA4; DA-VTA2; DA-VTA3; DA-SNC; DA-VTA1; mPeric; mEndo; mMgl; mNProg; mEpen; mRgl3; mRgl1; mRgl2; mNbML4; mNbML3; mNbL2; mNbL1; mNbML1; mNbML5; mUnk; mNbM; mNbML2; mDA1; mDA2; mDA0; mNbDA; mSert; mGaba1b; mGaba1a; mOMTN; mRN; mGaba2,
