,dataset,method,ss_euc,ss_seu,ss_cor,ss_cos,vrc,dbs
0,TabulaMuris_Bladder_10X,bd,0.7671090487075379,0.32954803185145004,0.692837342789413,0.687752626910836,0.7671090487075379,0.7302643327151249
1,TabulaMuris_Bladder_10X,fa,0.7597775636195829,0.28394663698419004,0.52373474556345,0.7289083640613431,0.7597775636195829,0.5404030351002821
2,TabulaMuris_Bladder_10X,fica,0.889570797953687,0.342521610426683,0.6532513857625191,0.757102195340548,0.722519858782188,0.549188080205874
3,TabulaMuris_Bladder_10X,grp,0.98651912410973,0.393814304059655,0.978196144461206,0.979065485205587,0.98651912410973,0.7638653476711709
4,TabulaMuris_Bladder_10X,icm,0.7814326117058911,0.329799104983636,0.6809659457613481,0.61077078092665,0.7814326117058911,0.6447206751253189
5,TabulaMuris_Bladder_10X,ipca,0.9378786317829398,0.34252161139369397,0.7004881655686329,0.6240590607326079,0.805404096324202,0.8648702604396121
6,TabulaMuris_Bladder_10X,isomap,0.8846431530673492,0.44347519733223,0.677436620878855,0.7669577563864929,0.8262360559227852,0.8262360559227852
7,TabulaMuris_Bladder_10X,ivis,0.64333988708486,0.0878937590035169,0.605951769885375,0.6084443951800289,0.661165926980485,0.7041137321889169
8,TabulaMuris_Bladder_10X,kpca-cos,0.829975311953308,0.49285503448219004,0.6844847363262071,0.637819339487056,0.792366074912803,0.829975311953308
9,TabulaMuris_Bladder_10X,kpca-pol,0.765776835791228,0.149721301087677,0.7738931170612529,0.781721180659623,0.7391543459391651,0.821908670415777
10,TabulaMuris_Bladder_10X,kpca-rbf,0.6032517369517549,0.219631948604744,0.670146892758687,0.5477698025788189,0.608916214243374,0.595543467038813
11,TabulaMuris_Bladder_10X,lda,0.604250733187896,0.456630658497245,0.6430402581463579,0.5893368764355861,0.725148856109886,0.8007156989494151
12,TabulaMuris_Bladder_10X,lle,0.6374634915367821,0.0832371873905179,0.556963076906746,0.593328862353004,0.6374634915367821,0.6504594503491391
13,TabulaMuris_Bladder_10X,lsnmf,0.7821613192902399,0.331298585931891,0.669223721086922,0.6036532434938541,0.7821613192902399,0.7701429471518859
14,TabulaMuris_Bladder_10X,mctsne,0.7621793097865981,0.412389864079313,0.715133534422541,0.57975834383692,0.7621793097865981,0.712100933205934
15,TabulaMuris_Bladder_10X,nmf,0.7830352869918291,0.32974282777368796,0.8842024280890891,0.569031990706152,0.7830352869918291,0.680715936041557
